"X","log2FoldChange","pvalue","padj","source","miclab"
"Abyssicoccus.albus",NA,NA,NA,"ORIEN",NA
"Acetilactobacillus.jinshanensis",0.500197797125748,0.864117092513236,0.99964061892998,"ORIEN",NA
"Acetivibrio.saccincola",NA,NA,NA,"ORIEN",NA
"Acetobacter.sp..KACC.21233",0.500197797125748,0.864117092513236,0.99964061892998,"ORIEN",NA
"Acetomicrobium.mobile",NA,NA,NA,"ORIEN",NA
"Acholeplasma.brassicae",NA,NA,NA,"ORIEN",NA
"Achromobacter.deleyi",0,1,NA,"ORIEN",NA
"Achromobacter.xylosoxidans",-0.720463442589636,0.80510504223725,0.99964061892998,"ORIEN",NA
"Acidaminococcus.fermentans",0.535645341480211,0.854587059237121,0.99964061892998,"ORIEN",NA
"Acidaminococcus.intestini",0.958366518649074,0.742893894106173,0.99964061892998,"ORIEN",NA
"Acidianus.manzaensis",1.06596893803966,0.708654772947308,0.99964061892998,"ORIEN",NA
"Acidibrevibacterium.fodinaquatile",0,1,NA,"ORIEN",NA
"Acidimicrobium.ferrooxidans",NA,NA,NA,"ORIEN",NA
"Acidobacterium.capsulatum",NA,NA,NA,"ORIEN",NA
"Acidovorax.avenae",-0.174054526569875,0.95249154836606,0.99964061892998,"ORIEN",NA
"Acidovorax.carolinensis",-0.117300697688218,0.967974068458883,0.99964061892998,"ORIEN",NA
"Acidovorax.sp..KKS102",-1.17390206904804,0.687527670845803,0.99964061892998,"ORIEN",NA
"Acinetobacter.baumannii",0,1,NA,"ORIEN",NA
"Acinetobacter.calcoaceticus",0.242713907767284,0.798652989823776,0.99964061892998,"ORIEN",NA
"Acinetobacter.haemolyticus",0.568163696766263,0.845862451611068,0.99964061892998,"ORIEN",NA
"Acinetobacter.lanii",0.244834448590831,0.933238698102754,0.99964061892998,"ORIEN",NA
"Acinetobacter.lwoffii",NA,NA,NA,"ORIEN",NA
"Acinetobacter.radioresistens",0.500197797111766,0.864117092516999,0.99964061892998,"ORIEN",NA
"Acinetobacter.schindleri",NA,NA,NA,"ORIEN",NA
"Acinetobacter.sp..MYb10",-0.358647708678564,0.902276044426569,0.99964061892998,"ORIEN",NA
"Actinocatenispora.thailandica",0.244834457051972,0.933238695801568,0.99964061892998,"ORIEN",NA
"Actinomyces.naeslundii",0.108761230090063,0.970311103071421,0.99964061892998,"ORIEN",NA
"Actinomyces.pacaensis",0.258340548522828,0.92956621088718,0.99964061892998,"ORIEN",NA
"Actinoplanes.friuliensis",0.468376126402786,0.872688828783461,0.99964061892998,"ORIEN",NA
"Actinoplanes.sp..L3.i22",-0.176446752397018,0.93400754626899,0.99964061892998,"ORIEN",NA
"Actinoplanes.sp..OR16",-0.668417989482741,0.727282248921285,0.99964061892998,"ORIEN",NA
"Actinopolyspora.erythraea",0.31113046795484,0.915228164911243,0.99964061892998,"ORIEN",NA
"Actinosynnema.pretiosum",0.15884705921632,0.956622562774953,0.99964061892998,"ORIEN",NA
"Acutalibacter.muris",0.553757642872653,0.786016483218048,0.99964061892998,"ORIEN",NA
"Adlercreutzia.equolifaciens",0.304736326686196,0.916963379659658,0.99964061892998,"ORIEN",NA
"Adlercreutzia.sp..8CFCBH1",0.11362545641087,0.968984101484934,0.99964061892998,"ORIEN",NA
"Aeoliella.mucimassa",0.500197797121988,0.864117092514248,0.99964061892998,"ORIEN",NA
"Aeromicrobium.chenweiae",0.244834457051972,0.933238695801568,0.99964061892998,"ORIEN",NA
"Aeromonas.salmonicida",0.746949192660403,0.798249352291736,0.99964061892998,"ORIEN",NA
"Aeromonas.sp..WP2.W18.CRE.05",-0.669037850583027,0.818774514286581,0.99964061892998,"ORIEN",NA
"Aerosticca.soli",NA,NA,NA,"ORIEN",NA
"Agrobacterium.tumefaciens",-0.650843665424205,0.772424835464286,0.99964061892998,"ORIEN",NA
"Akkermansia.muciniphila",1.92534756518579,0.438997457477272,0.99964061892998,"ORIEN",NA
"Alcaligenes.faecalis",-0.353188922631025,0.903681045952747,0.99964061892998,"ORIEN",NA
"Alcanivorax.sp..N3.2A",0,1,NA,"ORIEN",NA
"Alicyclobacillus.sp..TC",0.622325040018249,0.83137172978846,0.99964061892998,"ORIEN",NA
"Alistipes.communis",0.7001949905514,0.805463098503573,0.99964061892998,"ORIEN",NA
"Alistipes.dispar",-1.19400302928625,0.635649207208202,0.99964061892998,"ORIEN",NA
"Alistipes.finegoldii",0.544897161710681,0.842809521441003,0.99964061892998,"ORIEN",NA
"Alistipes.indistinctus",0.989833360304483,0.717156565948756,0.99964061892998,"ORIEN",NA
"Alistipes.megaguti",1.3277418568336,0.649121339790411,0.99964061892998,"ORIEN",NA
"Alistipes.onderdonkii",0.221290364467529,0.939568843921617,0.99964061892998,"ORIEN",NA
"Alistipes.shahii",2.81571490082261,0.244428114154239,0.99964061892998,"ORIEN",NA
"Alistipes.sp..dk3624",-0.117550297533527,0.967905950637347,0.99964061892998,"ORIEN",NA
"Alkalibacter.sp..ES005",0.622325040018249,0.83137172978846,0.99964061892998,"ORIEN",NA
"Alkalitalea.saponilacus",NA,NA,NA,"ORIEN",NA
