"sample","B.cells.naive","B.cells.memory","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","TILs","buffa.bin","Bacteroides.fragilis","Pichia.kudriavzevii"
"SL204960",0,0.138157553475957,0,0.0425612894365837,0.239609527739645,0,0,0,0,0.0363342234795713,0,0.0237876394355732,0.291095299001773,0.00251008056298499,0.0814648290942388,0,0,0,0.0795153721448341,0.00783301364158328,0,0.942868828012744,"Low",0,0
"SL242318",0.195234067918547,0.124962968560057,0,0,0.223814183280444,0,0.080373641877579,0,0,0.0359017181915063,0,0,0.0634333742617991,0,0.127354161204966,0,0.0135727813972733,0,0.0943510933981657,0.00801227425484088,0,0.967010264345178,"Low",7.48525637072576e-08,0
"SL242347",0.0602408896554353,0,0.0848707630445605,0,0.150481416543639,0.171845308315013,0,0,0,0,0,0,0.0582762966354687,0.0395443243644684,0.0979407471037542,0,0.0127106108281988,0,0.132051933276384,0,0.00355441517091023,0.811516704937832,"Low",0,0
"SL242413",0.0578483452084912,0,0,0,0.108743595234923,0.0720840065379812,0.0173827218986034,0,0,0.0448038375623891,0,0,0.362423190750346,0,0.121722532967994,0,0.0120009257747704,0,0.124046967407551,0,0.0334132764244568,0.954469399767506,"Low",0,0
"SL242436",0.00737273457347868,0.00981152537824319,0.122081143225139,0,0.331255750905155,0.0486485383622317,0.00181899065705506,0,0,0,0.0360524065660089,0.0366046311260212,0.187949256702842,0.066311244661762,0.0869180757322899,0.00412399215407394,0,0,0.0508592166026474,0,0,0.989807506646948,"Low",0,0
"SL242452",0.0147710606121854,0.00719215755413441,0.0192178881245832,0,0.203254246822198,0.00271857937871442,0,0,0,0,0.0224948964722118,0.00541740344958756,0.270404643189694,0.0130021309399787,0.320864578941403,0,0.00876971775024626,0,0.0955626015884824,0,0.0163300951765814,1,"Low",0,0
"SL242460",0.039680395227718,0.00877251306301821,0,0,0.0929021095925271,0.00220836166321425,0.00287630591389113,0.00138472090951744,0,0.041653576210225,0,0,0.552859072886912,0.00886176708800414,0.151637341022552,0,0,0,0.085606290625728,0,0,0.988442454203307,"High",0,3.62507170935602e-09
"SL242461",0.152229027402502,0,0.03666067401027,0,0.0899489850516786,0.050243577636434,0.00693224278330865,0,0,0.0593551774397818,0.00313070919982958,0.052605909332211,0.372660560123148,0.0100432733448332,0.062213950058024,0,0,0,0.0325543889248062,0,0,0.928578475306827,"High",0,0
"SL243551",0.0143278584527784,0.052478867578588,0.069399221363925,0.0361828721519947,0.211640595080876,0,0.012013516670401,0,0,0,0.0847606800591358,0.0345927248099371,0.0346440045552119,0.00144173119145958,0.213069323233004,0.00339750489725613,0.000590127116884704,0,0.134320508769941,0.0198199143357393,0.00924785553074683,0.931927305797879,"Low",0,0
"SL243561",0.130986418866929,0,0.0158351162740159,0,0.265851659458578,0.0199976802890494,0,0,0,0.0532492423347576,0,0.000251065535493331,0.168435613257719,0.000286002274237104,0.0560595043499372,0,0.00656980883158567,0,0.125888071780314,0.00488617355294968,0.0082025948609014,0.856498951666467,"High",0,0
"SL243589",0.0537329684509328,0.0323250359034797,0.0698796655528501,0,0.221653751086035,0,0.0338321540587813,0,0,0,0.0455690826037826,0.0167633083134981,0.149045858386744,0.0333536623101514,0.287921758727981,0.00375359922149253,0,0,0.03367362408953,0,0,0.981504468705259,"Low",0,1.0996067443412e-08
"SL243610",0.0212524881878821,0,0.0493032328790217,0,0.11875705604925,0,0.0209305819957879,0,0,0.0331665777241291,0,0,0.38468757946483,0.0361864033463939,0.221136412711428,0,0,0,0.104538916005876,0,0,0.989959248364599,"High",0,0
"SL243645",0,0.318617957621429,0.0174051957001069,0,0.302463784997669,0,0,0,0,0.0361899716261072,0,0,0.124073330601175,0.00372591917540051,0.0476374818241165,0,0.00017231865724143,0.0389034554558984,0.0199274249535978,0,0,0.909116840612742,"Low",0,7.55152578786211e-09
"SL243651",0.0296680718272644,0,0.0455598308109513,0,0.286971709099651,0.0579388692239089,0,0,0,0.0836888360329218,0.0167024996862927,0.0939833372821189,0.142168528395354,0.00138541859267482,0.111130741834117,0,0.0478500611039749,0.0106724507833326,0.00117190115622001,0.00946698206047848,0.0527220599451184,0.991081297834379,"Low",0,1.94700351194652e-08
"SL252387",0.030307465028572,0,0.0190478154797129,0.00301416639681527,0.164858129515947,0,0,0,0,0.0641304580732432,0,0,0.504004623142019,0.00698307560330913,0.154119600818052,0,0,0,0.0383496598123439,0,0.0108753937834117,0.995690387653426,"Low",0,0
"SL252579",0.0252008610288194,0.0352401664276568,0.0544829375316248,0,0.207043278554753,0.0429414302937482,0.014226059272457,0,0,0,0.0188202711102371,0.0525604913400981,0.107701265953402,0.0268148518601038,0.134092895752201,0,0.0509181124026107,0.0722782424499795,0.0656336168665339,0.0201304623367191,0,0.928084943180944,"Low",2.19928010772992e-07,0
"SL252585",0,0.0694591969226311,0.0249071503137341,0,0.207673692640408,0,0.0203241984150724,0,0,0,0,0.031283754579899,0.16196903084468,0.0140882283910405,0.0996815631491918,0,0.0100329387987799,0,0.199473943973093,0.049982346920089,0.0807113993396793,0.969587444288298,"Low",2.30881496062099e-06,8.10110512498593e-08
"SL253580",0.0729665004046809,0.140262440014517,0,0.0317985564272008,0.326380098728071,0.000852274520477387,0.0687244904828762,0,0,0.0808079184016717,0,0,0,0,0.0226124406818988,0,0.0444883182772081,0,0.0477682398097865,0.124837761975667,0.0385009602759442,1,"Low",5.08373030912385e-07,0
"SL271819",0,0.240857901543395,0,0.0291959731999509,0.161977903833605,0,0,0,0,0,0.0222711096736327,0.191777757500223,0,0,0,0,0.0696815971576349,0,0.180360867879182,0.103876889212377,0,1,"Low",0,6.9499402544911e-09
"SL271874",0.012242883357833,0.00416143835576527,0,0.013884126356169,0,0,0.0240094148296902,0,0,0.00609994563450968,0,0,0.0892465996268029,0.0106785163570425,0.0149135623980504,0,0,0,0.380154761310622,0.0229556927789764,0.421653058994539,1,"Low",1.05385334981002e-05,0
"SL310778",0,0.0902312558486149,0,0,0.26519965638975,0.021595538400518,0,0,0,0.0438512722800232,0,0,0.319244828321712,0.00824358711099212,0.133532353778232,0,0.000251119257880296,0.0897269977139463,0.00119422491282626,0,0,0.973070834014495,"Low",0,4.39511185328923e-08
"SL324456",0.0561141054206065,0,0,0,0.0542830323323168,0,0.0277401708005172,0,0,0.0391061740783549,0,0,0.473997311451852,0.0332966329351916,0.130632741728515,0,0,0,0.0428286687840983,0,0,0.857998837531452,"Low",0,4.03214757066577e-09
"SL324457",0,0.0833717811120216,0,0.134542391760731,0.050531472266607,0.118376946678693,0.00125422726320218,0,0,0.178988727169277,0,0.0139424635257413,0.100660909893892,0.0660925730342345,0,0,0.0377342936961176,0,0.126236019182028,0,0,0.911731805582545,"Low",5.35515419433516e-08,1.33878854858379e-08
"SL324470",0.379956264556395,0,0.0349764507097555,0,0.188197055457611,0.00775483305927715,0,0.0165189304935174,0,0,0,0.0168497055294826,0.109660059219323,0.0161660466589024,0.0534400897537228,0,0,0,0.0215189586463989,0,0,0.845038394084386,"Low",0,2.1406796206112e-07
"SL324471",0.0326795235557662,0,0.0415823742797374,0,0.126743715207976,0.0497262882995605,0.0148640109765722,0,0,0.0330560522589648,0,0,0.356412452315867,0.0430104101395023,0.158151486899063,0,0,0,0.0987524133459145,0,0,0.954978727278924,"Low",0,0
"SL324472",0,0.057245423945607,0,0.0319278944757056,0.308230080749066,0,0.012319710523561,0,0,0.0323018280381765,0.0200086825593903,0.081601478242149,0.153072306993101,0.0247455001779253,0.152468391369335,0,0,0,0.0593859817115773,0.0517972968986514,0,0.985104575684245,"Low",1.33033622771482e-07,0
"SL324482",0.261811259760946,0,0.0969351081420095,0,0.216760657816426,0,0.0032442869074859,0,0,0,0,0.0287231702119071,0,0,0,0,0.0106405949302007,0,0.260933907198562,0.0031327968749354,0,0.882181781842473,"Low",0,0
"SL324534",0.157173609465807,0,0.0356588194080389,0,0.136452166656271,0.00150996583015664,0,0.0280509686758829,0,0.00280077660362969,0,0,0.341252472824251,0,0.127630466270953,0.00185325854912745,0.00833843827702353,0,0.0812636199667169,0.0259664836169041,0,0.947951046144762,"High",0,0
"SL324730",0,0.0364105998150528,0.0135456718943138,0,0.250856788343603,0,0.00763371025472821,0,0,0.0166783753679593,0,0.104497389535166,0.290875283166022,0.00123328810806342,0,0,0,0,0.0865279160132128,0.0677664984608514,0.0743944392586857,0.950419960217658,"High",0,0
"SL324735",0.371254821336287,0.0247737887507911,0,0,0.19342496859682,0,0.0831937065960382,0,0,0.0356929094158587,0,0.00688252177619362,0.0449125955617222,0.0234334428247727,0.150196918820214,0,0.0177105239689739,0,0.039900495186783,0.0086233071655463,0,1,"Low",0,0
"SL324752",0.147245038212512,0.154027449324615,0.0254309182063302,0.0500200330850243,0.290539469568953,0.0299954982504827,0,0,0,0,0,0.0312310203066689,0.137761742746265,0.0055514722204643,0.0563940926181366,0,0.00252581414952848,0,0.0573052554426431,0.0119721958683766,0,1,"Low",0,0
"SL324762",0,0.0662230050392902,0.0521213780407718,0,0.0741471402211834,0.0119181451237233,0.0271256673313113,0,0,0.0187155931560276,0,0,0.227864016648529,0,0.104603781957015,0,0.0855442015054238,0,0.241011152333088,0.0437641325118222,0,0.953038213868186,"Low",0,0
"SL324799",0.0281021201131877,0,0.0264629673945439,0.0482679623285304,0.0165507757609016,0.0420942529513943,0.0237933204201226,0,0,0,0.038691014225192,0,0.254966739765417,0.13956295323205,0.0920569613358025,0,0.05244055267149,0,0.210253374920674,0,0.00139405131701439,0.97463704643632,"High",1.11356957477028e-05,5.68147742229733e-09
"SL324802",0.0937368317804768,0,0.0111547024940671,0,0.0453190507069382,0.0416970470108141,0,0,0,0,0,0,0.318133726970281,0.0240176939237755,0.191230809523202,0,0,0.162310478464208,0.0658816372936999,0,0,0.953481978167463,"Low",0,0
"SL331620",0,0.0554306993231177,0.0453969021610083,0.0394733293786201,0.117965251094494,0.015119104005351,0,0,0,0.0730815261150506,0,0.00205791863382124,0.272145164159158,0.000773973760884379,0.0113667676070918,0,0.00124232864763839,0,0.183130272635621,0.00303510007120518,0,0.820218337593062,"High",3.74514750555823e-05,5.3038024507817e-08
"SL337308",0.117891556350944,0,0.0792563886612269,0,0.0422215537748633,0.0892358780233682,0.00989164078027466,0,0,0.0198083395666305,0,0,0.315622223583912,0.114582641874069,0.0932565085921435,0,0,0,0.0634859083480746,0,0,0.945252639555507,"High",5.08970516279587e-09,5.59867567907546e-08
"SL337347",0.0786571048350674,0,0.0023727986461707,0,0.285962231936093,0.0158090443329814,0,0,0,0.0432121046953915,0,0,0.314013755416855,0,0.0835592019748379,0,0.00528694753312579,0,0.103241896498301,0,0,0.932115085868824,"High",1.47822085841128e-08,0
"SL337465",0.0465894962930277,0.00796546767500483,0.0343215499777369,0,0.102435841840892,0,0.0312865009990396,0,0,0,0.0528987781236539,0.0275438635768775,0.171974160988222,0.00898756312972583,0.253797326262883,0,0,0,0.195553283876592,0,0,0.933353832743655,"Low",0,6.93487569326975e-07
"SL337487",0.00368201026346481,2.72010240259325e-05,0,0.0264384397559503,0.207200402155334,0,0.00392613102747099,0,0,0.00558212026906409,0,0.0194137604490609,0.255705833141228,0.0234491802156433,0.365372657749189,0,0,0,0.088665691255699,0,0,0.99946342730613,"High",0,6.24299239710906e-09
"SL339422",0.0345923070927246,0,0,0.0215274185060799,0.0692279861243255,0.097881285560956,0,0.00532190951503822,0,0.120321148174496,0,0.0104732425130116,0.401602315816545,0.00290711042175255,0.0215661119752016,0,0,0,0.203031843170824,0.00697211385888853,0,0.995424792729844,"High",0,2.16282089427557e-09
"SL341281",0.0571517170356236,0,0.00885228686162906,0,0.102065235610939,0.0126146630664231,0.0462000036016624,0.00723891302140756,0,0.0183701132382931,0,0,0.437108752856869,0.0182616722256533,0.148757657041893,0,0,0.0551886023110297,0.0266620191655884,0,0,0.938471636037011,"High",0,2.14413416619366e-09
"SL342654",0,0.0776889860099906,0.0319036079324745,0,0.127599746269834,0,0.00327934958234537,0,0,0.00494325747777385,0.00662542738748242,0.00399746451066444,0.111413449368828,0.0555347947080769,0.136409132163832,0.0630782061761175,0,0,0.131858546064669,0.0407589694910988,0,0.795090937143187,"High",0,2.05989454195946e-08
"SL342663",0,0.0137725842840993,0,0.050189978730378,0.0527821203156287,0.0534281572373047,0,0,0,0.0508446386695077,0,0,0.518480471981706,0.00807990683827291,0.172038005717616,0,0,0,0.0728169838836041,0,0,0.992432847658117,"High",4.97342620049612e-09,1.24335655012403e-08
"SL342709",0.179692904205942,0,0.0279484440379988,0,0.0613971164253898,0.0835852969466929,0.0191793683369289,0,0,0.0171373068024078,0.00732636271345646,0,0.313181409858546,0.0477633106582339,0.0589827156849099,0,0,0,0.0652638074643515,0,0,0.881458043134858,"High",0,7.89851436301734e-08
"SL342730",0.0146146549174396,0,0,0,0.0728897623879993,0.116809952165077,0.0116171077700966,0,0,0.0565409356932356,0.0148382071488261,0,0.324272029696148,0.00659482283633425,0.301341253454683,0,0,0.0277723215756872,0,0.000784841777424454,0,0.948075889422951,"High",0,1.52373209737113e-07
