"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold"
"Abiotrophia.defectiva",0.0947161864536235,-0.238194763596231,2.31521479421976,-0.102882360716991,0.918056337511726,0.998695578451716,FALSE
"Abyssicoccus.albus",0.197383728975668,-0.220823602331308,1.39549831387858,-0.158239963556503,0.874267714075652,0.998695578451716,FALSE
"Acetilactobacillus.jinshanensis",0.0228050986565734,0.0407346218312137,2.93278723133981,0.0138893887002517,0.988918227505134,0.998695578451716,FALSE
"Acetobacter.pasteurianus",0.0552295215289627,0.140146367257203,2.93274486063682,0.0477867574292744,0.96188619054001,0.998695578451716,FALSE
"Achromobacter.deleyi",0.234723210930506,-1.0165168559945,2.31449929103731,-0.439195146842718,0.660520141295579,0.998695578451716,FALSE
"Achromobacter.denitrificans",0.505750782599397,-0.362122573905661,2.41060526779169,-0.150220601748454,0.880590572480249,0.998695578451716,FALSE
"Achromobacter.insolitus",0.0901246827837174,0.146538901235559,2.73345617003578,0.05360938391547,0.957246379981905,0.998695578451716,FALSE
"Achromobacter.pestifer",0.0768732033296655,0.332556473054188,2.93274464185144,0.113394282034812,0.909717972749504,0.998695578451716,FALSE
"Achromobacter.sp..AONIH1",0.0441982257914073,0.140146367257203,2.93274486063682,0.0477867574292745,0.96188619054001,0.998695578451716,FALSE
"Achromobacter.sp..B7",0.0417227156399847,-0.123254602942996,2.93272327097608,-0.0420273553126525,0.966476890991761,0.998695578451716,FALSE
"Achromobacter.sp..ES.001",0.0880980970892931,0.0535628968141182,2.93263315237702,0.0182644381451881,0.985427896980634,0.998695578451716,FALSE
"Achromobacter.spanius",0.188077477460601,-0.51683212514131,1.54019385534663,-0.335563035358945,0.737200402703701,0.998695578451716,FALSE
"Achromobacter.xylosoxidans",6.33266959591827,0.692841115309705,0.84309892662654,0.821779145280074,0.411202605001271,0.998695578451716,FALSE
"Acidaminococcus.intestini",0.0268529728048951,0.233139418857719,2.9327843168705,0.0794942258510492,0.936639524183735,0.998695578451716,FALSE
"Acidianus.manzaensis",0.0775187653590765,0.341048888398833,2.9326342205112,0.11629438339548,0.907419236811932,0.998695578451716,FALSE
"Acidipropionibacterium.acidipropionici",0.0624717153330365,-0.145262206518635,2.84793365377233,-0.0510061764698147,0.95932059884545,0.998695578451716,FALSE
"Acidisarcina.polymorpha",0.0770118258769899,0.424991650973212,2.79144283337015,0.152248022382071,0.878991319020465,0.998695578451716,FALSE
"Acidobacterium.sp..4Y35",0.0847835761105864,0.146565471389242,2.93266806565917,0.0499768361464045,0.960140847326927,0.998695578451716,FALSE
"Acidovorax.antarcticus",0.165895191784213,0.264195433629906,1.57666481946271,0.167566010459939,0.86692471277446,0.998695578451716,FALSE
"Acidovorax.avenae",0.799273421566756,1.29236821023746,0.936984764099054,1.37928412473187,0.167807169264304,0.998695578451716,FALSE
