"Taxa","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","TaxLev","mouse.line"
"s__Diaphorobacter sp. JS3050",103.422829209679,-23.619996636114,3.4146147709743,-6.91732397952885,4.60254706850928e-12,1.91811149080124e-09,"species","Balbc"
"s__Sphingobacterium daejeonense",104.899093316947,-23.6376858385706,3.40085259076326,-6.95051761513297,3.63948349946509e-12,1.91811149080124e-09,"species","Balbc"
"s__Streptococcus agalactiae",154.105410236609,-24.1626997156347,3.43799644734568,-7.02813399772116,2.09313837547792e-12,1.91811149080124e-09,"species","Balbc"
"s__Streptococcus pyogenes",256.624650695596,-24.3037606782452,3.46921619885109,-7.00554802156578,2.46020930913572e-12,1.91811149080124e-09,"species","Balbc"
"s__Staphylococcus pseudoxylosus",91.1761116225949,-23.4506494701744,3.45130343662765,-6.79472260285772,1.08521133212455e-11,3.61809458130324e-09,"species","Balbc"
"s__Selenomonas sp. oral taxon 126",60.2616968266885,-22.8859213288103,3.42169359163431,-6.68847771313132,2.25503980338810e-11,6.26525225374662e-09,"species","Balbc"
"s__Propionibacterium virus PHL141N00",41.2573393645211,-22.2417279411763,3.37488945103706,-6.59035748099591,4.38768810437826e-11,1.04489658142837e-08,"species","Balbc"
"s__Propionibacterium virus PHL009M11",36.9539028741917,-22.2209112986848,3.3867258367384,-6.56117807282706,5.33843230408599e-11,1.11239583136392e-08,"species","Balbc"
"s__Propionibacterium virus P144",37.751937290122,-21.7853457195665,3.37360798531153,-6.45758067161878,1.06390042425531e-10,1.97058000803734e-08,"species","Balbc"
"s__Bacillus thuringiensis",36.6623745597957,22.4429227373312,3.43545965471944,6.53272778403915,6.45824649628761e-11,2.10737120321926e-08,"species","Nude"
"s__Corynebacterium sp. L2-79-05",34.4857035636116,22.3629825045175,3.43553556142535,6.50931480832624,7.5494362449001e-11,2.10737120321926e-08,"species","Nude"
"s__Diaphorobacter sp. JS3050",56.4490230290107,23.048254826536,3.43503242956896,6.70976338625954,1.94940253079648e-11,2.10737120321926e-08,"species","Nude"
"s__Methylobacterium phyllosphaerae",43.6837488863622,22.6915245083829,3.43526360123538,6.60546820925843,3.96262939467956e-11,2.10737120321926e-08,"species","Nude"
"s__Propionibacterium virus MrAK",36.7034463124081,22.4412481265874,3.43545847755394,6.53224257350525,6.47921017556127e-11,2.10737120321926e-08,"species","Nude"
"s__Propionibacterium virus P101A",40.6356084795868,22.4316686608789,3.43534021499295,6.52967894212626,6.59108231728561e-11,2.10737120321926e-08,"species","Nude"
"s__Sphingomonas sp. IC081",50.7870349737071,22.8053095613501,3.43512096696809,6.63886651464231,3.16104495100376e-11,2.10737120321926e-08,"species","Nude"
"s__Sphingomonas insulae",32.3969006103724,-21.8140340639205,3.42057306832433,-6.37730392779087,1.80232569134455e-10,3.00447692747136e-08,"species","Balbc"
"s__Acinetobacter nosocomialis",24.3058734589298,21.8738450685618,3.43607787252076,6.36593403295449,1.94104849162664e-10,4.25861005477425e-08,"species","Nude"
"s__Diaphorobacter sp. MNS-0",59.9546095595088,21.8613723643403,3.4349861493091,6.36432620513983,1.96148876627268e-10,4.25861005477425e-08,"species","Nude"
"s__Listeria innocua",54.7571502914786,-21.3985757560373,3.39239905027726,-6.30780030264669,2.83029061904186e-10,4.28917678358434e-08,"species","Balbc"
"s__Bacillus velezensis",22.6853438935223,21.7800692356071,3.43620817921278,6.33840212806805,2.32160241488245e-10,4.53435937230594e-08,"species","Nude"
"s__Propionibacterium virus Attacne",21.9530201424394,21.7302029856303,3.43627450137829,6.32376807409136,2.55260763026435e-10,4.53435937230594e-08,"species","Nude"
"s__Pseudomonas veronii",19.0254508073226,21.532565506042,3.43658707718006,6.26568308104996,3.71194590724988e-10,6.04428525230523e-08,"species","Nude"
"s__Acinetobacter sp. 10FS3-1",18.2334361820266,21.4738162433068,3.43668875215995,6.24840298086656,4.1467067096445e-10,6.05744558473158e-08,"species","Nude"
"s__Pseudomonas extremorientalis",17.9525505594265,21.4495915946871,3.43672932724696,6.24128045948548,4.34003266050369e-10,6.05744558473158e-08,"species","Nude"
"s__Pseudomonas sp. Lz4W",20.3011434774524,19.5979195955369,3.43644038426712,5.70297092458262,1.17737071429989e-08,1.53372158382799e-06,"species","Nude"
"f__Pyriculariaceae",186.50680225278,3.21534911816161,0.638738729258173,5.03390348960975,4.80591692861918e-07,5.86922604907617e-05,"family","Nude"
"o__Magnaporthales",176.544987742563,2.9160596779627,0.59630232111119,4.89023700684029,1.0071463801643e-06,0.000115762589814179,"order","Nude"
"o__Bifidobacteriales",859.457908912053,-3.47305455604102,0.777431480081891,-4.46734489793902,7.91963916517707e-06,0.000859720829375334,"order","Nude"
"f__Bogoriellaceae",28.7465064760112,8.83428051200272,2.03241755913774,4.346685784269,1.38209989847381e-05,0.00142138063243044,"family","Nude"
"s__Propionibacterium virus P91",104.957787178295,10.4775364828552,2.53641238372361,4.1308489700218,3.61425984872478e-05,0.00353113187220411,"species","Nude"
"f__Bifidobacteriaceae",757.894120894602,-3.21386306159171,0.796789023820933,-4.03351824072564,5.49479132413288e-05,0.00511277249874079,"family","Nude"
"s__Klebsiella quasipneumoniae",86.2567666418767,10.4323549676912,2.54555294324465,4.09826674215379,4.16255426628254e-05,0.00578248163491083,"species","Balbc"
"s__Klebsiella sp. LY",202.292641570567,11.6620643532806,2.97040614112987,3.92608411078917,8.63399745960913e-05,0.0110714413578219,"species","Balbc"
"g__Weissella",53.5285127484766,9.73079407609668,2.52557060714463,3.85290914004505,0.000116722712177151,0.013898340085665,"genus","Balbc"
"g__Georgenia",27.8387267657399,8.63658737906302,2.28928151475255,3.7726191922694,0.000161542751078696,0.0143479334367169,"genus","Nude"
"s__Diaphorobacter sp. JS3051",273.426367671352,-11.0428462446719,3.05201849016765,-3.61821079401956,0.000296646743706028,0.03296734145053,"species","Balbc"
"f__Coriobacteriaceae",58.9404175791672,-8.77348297375839,2.44826177489965,-3.58355591861414,0.000338948159731563,0.0353141613920322,"family","Balbc"
"g__Magnetospirillum",44.961317036623,-9.15697337351811,2.61417432400076,-3.50281665971846,0.000460366216919961,0.0391111125157219,"genus","Nude"
"s__Streptococcus anginosus",193.828727672557,-10.5464212033375,3.05149653362589,-3.4561472009296,0.00054795599298669,0.0537319200181654,"species","Balbc"
"s__Bacteroides fragilis",73.427383453533,10.2000124550628,2.98554085402904,3.4164705672333,0.000634385210263733,0.0587511191949802,"species","Balbc"
"s__Diaphorobacter sp. MNS-0",64.6636085805656,10.0166665709635,2.96693999889928,3.37609340757806,0.000735229534748756,0.0645067176013777,"species","Balbc"
"g__Actinomadura",16.8317383861526,-7.7385785957117,2.32530039389449,-3.32799091938005,0.000874747176760264,0.0660131805293867,"genus","Nude"
"g__Rhodobacter",33.3045336998594,-8.72422013021982,2.61034504545079,-3.34217123725619,0.000831257622596166,0.0660131805293867,"genus","Nude"
"s__Georgenia faecalis",26.5393132346905,8.49227600956494,2.55265684336897,3.32683808700151,0.000878373947678636,0.0660131805293867,"species","Nude"
"g__Tannerella",65.8578618457951,-8.95750764269657,2.68954251800017,-3.33049490117635,0.000866917513002559,0.0722575747087633,"genus","Balbc"
"g__Lancefieldella",39.3214510512533,9.13760069218104,2.78883718903461,3.27649126600472,0.0010510556346755,0.0733486682198543,"genus","Nude"
"s__Pseudomonas sihuiensis",74.1373038208272,-9.87942115002168,3.01364206683332,-3.27823309169652,0.00104459099327154,0.0733486682198543,"species","Nude"
"k__Pararnavirae",144831.645878718,1.50407893100989,0.46191091937443,3.25620994854783,0.00112910227715774,0.0735421949855408,"kingdom","Nude"
"s__Hydrogenophaga pseudoflava",23.0856037043106,8.29404960220738,2.54323181327599,3.26122438344448,0.00110932218564435,0.0735421949855408,"species","Nude"
"g__Collinsella",59.1132585297352,-8.80311429182577,2.67250350228289,-3.29395800016951,0.000987872580965684,0.0784182663080855,"genus","Balbc"
"g__Fimbriimonas",15.3335305871221,7.92724783365879,2.45870932455578,3.22415006706457,0.00126347169805718,0.084248292826453,"genus","Balbc"
"s__Fusobacterium nucleatum",144.040530204632,-10.1180466406916,3.10328751228103,-3.26042836851248,0.00111244062452865,0.084248292826453,"species","Balbc"
"s__Pseudomonas sp. 13159349",49.0183509505002,9.61704397857211,2.97548652796327,3.23209125236907,0.00122887806220998,0.084248292826453,"species","Balbc"
"s__Weissella cibaria",52.0708135771297,9.70416867827301,2.99892154150784,3.23588614905671,0.0012126574088169,0.084248292826453,"species","Balbc"
"s__Exiguobacterium sp. AT1b",63.4485333091201,-9.65489098898394,3.02308730244977,-3.19371887843267,0.00140452818456866,0.0885305829886181,"species","Nude"
"s__Sphingomonas paucimobilis",46.6075944816998,-8.49047203455035,2.68153531227956,-3.16627269298671,0.00154405970192684,0.0989979816581552,"species","Balbc"
"s__Lactobacillus johnsonii",60.8139503949205,-9.5935243915266,3.06141195144298,-3.13369273514619,0.00172621511587144,0.1054070105129,"species","Nude"
"f__Alcaligenaceae",190.182285857413,-1.30889150157622,0.420203064100733,-3.11490232556336,0.00184005829672222,0.107635838015584,"family","Nude"
"g__Humibacter",31.5029731751105,8.814962614168,2.84251907586941,3.10110939588747,0.00192797048646134,0.107635838015584,"genus","Nude"
"g__Pyxidicoccus",29.5234988876146,8.72379907821676,2.81014906364434,3.10439015178195,0.001906717156922,0.107635838015584,"genus","Nude"
"f__Porphyromonadaceae",240.230108402632,-4.19046207727587,1.36227748031855,-3.07607087235706,0.00209747982951113,0.109409670530198,"family","Nude"
"g__Neospora",17.7757163745195,7.99048129469196,2.59761698186124,3.07608140479842,0.00209740573793312,0.109409670530198,"genus","Nude"
"g__Trypanosoma",16.2927784744679,7.86673270367063,2.56743993048713,3.06403768604551,0.00218371399727621,0.109409670530198,"genus","Nude"
"s__Mycobacterium sp. KMS",48.4140439644132,-9.26465318782766,3.0225095737424,-3.06521880635646,0.00217510803996069,0.109409670530198,"species","Nude"
"s__Citrobacter freundii",43.1181788891791,-9.09758410792773,3.01688666775256,-3.01555381750717,0.00256510413250902,0.125305336873066,"species","Nude"
"p__Artverviricota",146245.523399941,1.4323879135782,0.47928834470006,2.98857238949674,0.00280284095778909,0.125897882080088,"phylum","Nude"
"f__Cryptococcaceae",99.2432282430333,1.42749939405818,0.477858345885872,2.98728568067976,0.0028146656767485,0.125897882080088,"family","Nude"
"g__Methylococcus",14.840306173406,7.73340712270266,2.60156794505537,2.97259471443022,0.00295294085718816,0.125897882080088,"genus","Nude"
"s__Acinetobacter bereziniae",54.368644534777,9.52884283438064,3.2007838662232,2.97703413683608,0.00291051600962705,0.125897882080088,"species","Nude"
"s__Propionibacterium virus PHL095N00",39.5000805388319,-8.9711641522419,3.01910398860081,-2.97146576802727,0.00296381912778098,0.125897882080088,"species","Nude"
"s__Rhodobacter sp. LPB0142",42.9223523764322,-9.09093051564922,3.0511875240353,-2.97947289179596,0.00288744777548934,0.125897882080088,"species","Nude"
"s__Pseudomonas rhizosphaerae",18.2239530752176,-7.85464577405171,2.65252406591259,-2.96119679930193,0.00306446057311791,0.127403318295157,"species","Nude"
"f__Rhodobacteraceae",268.634090414013,-2.63063430212088,0.894631237600814,-2.94046774979109,0.00327717114629218,0.133408175413644,"family","Nude"
"c__Ustilaginomycetes",1230.94850608571,1.56256480676712,0.533587621948623,2.92841277138466,0.00340697414538401,0.135056590674652,"class","Nude"
"s__Halomonas meridiana",23.1685854316655,8.29841863574234,2.83805858927573,2.92397721001951,0.003455900477857,0.135056590674652,"species","Nude"
"f__Ustilaginaceae",1320.51767975476,1.93918393670622,0.668159308677674,2.90227781237378,0.00370459848766412,0.138976730308836,"family","Nude"
"g__Phytohabitans",11.4500715351777,-7.1813283968216,2.47847093683342,-2.89748339998561,0.003761696448947,0.138976730308836,"genus","Nude"
"s__Bifidobacterium catenulatum",35.7911816359671,-8.82886100887796,3.04777022384146,-2.89682632234326,0.00376958378012709,0.138976730308836,"species","Nude"
"s__Cupriavidus nantongensis",20.3690124083194,8.11285105939053,2.81938559076169,2.87752448121108,0.00400808809075795,0.142396438715292,"species","Nude"
"s__Mycobacterium sp. WY10",32.429408377472,-8.68680134639794,3.01424562731897,-2.88191555050025,0.00395265654377955,0.142396438715292,"species","Nude"
"s__Lancefieldella parvula",38.5241396331385,9.03234816336546,3.15167247893982,2.86589048313923,0.00415838076313165,0.145097785913558,"species","Nude"
