"X","log2FoldChange","pvalue","padj","source","miclab"
"Abiotrophia.defectiva",0.238182665788257,0.918060470539649,0.9986928692853,"TCGA",NA
"Abyssicoccus.albus",0.220819676772071,0.874269922610398,0.9986928692853,"TCGA",NA
"Acetilactobacillus.jinshanensis",-0.0407552342965061,0.988912617211054,0.9986928692853,"TCGA",NA
"Acetobacter.pasteurianus",-0.140166524043143,0.961880702381107,0.9986928692853,"TCGA",NA
"Achromobacter.deleyi",1.01650801528682,0.660522852787734,0.9986928692853,"TCGA",NA
"Achromobacter.denitrificans",0.362115638261415,0.880592818959729,0.9986928692853,"TCGA",NA
"Achromobacter.insolitus",-0.146555669271146,0.957241482217141,0.9986928692853,"TCGA",NA
"Achromobacter.pestifer",-0.332576572735956,0.909712514633287,0.9986928692853,"TCGA",NA
"Achromobacter.sp..AONIH1",-0.140166524043143,0.961880702381107,0.9986928692853,"TCGA",NA
"Achromobacter.sp..B7",0.123235122244318,0.966482176972023,0.9986928692853,"TCGA",NA
"Achromobacter.sp..ES.001",-0.0535818001761049,0.985422750740313,0.9986928692853,"TCGA",NA
"Achromobacter.spanius",0.516827283801728,0.737202753754368,0.9986928692853,"TCGA",NA
"Achromobacter.xylosoxidans",-0.692839239975618,0.411203862774471,0.9986928692853,"TCGA",NA
"Acidaminococcus.intestini",-0.233159974325511,0.936633932080065,0.9986928692853,"TCGA",NA
"Acidianus.manzaensis",-0.341068441571666,0.907413927217203,0.9986928692853,"TCGA",NA
"Acidipropionibacterium.acidipropionici",0.145243521289348,0.959325816287237,0.9986928692853,"TCGA",NA
"Acidisarcina.polymorpha",-0.425008318852996,0.878986579405594,0.9986928692853,"TCGA",NA
"Acidobacterium.sp..4Y35",-0.146584773613847,0.960135591338418,0.9986928692853,"TCGA",NA
"Acidovorax.antarcticus",-0.264200177737529,0.866922334551936,0.9986928692853,"TCGA",NA
"Acidovorax.avenae",-1.29236871240263,0.167807021986136,0.9986928692853,"TCGA",NA
"Acidovorax.carolinensis",-0.0790223397347775,0.921122877673015,0.9986928692853,"TCGA",NA
"Acidovorax.cattleyae",0.138842135768864,0.962239259840439,0.9986928692853,"TCGA",NA
"Acidovorax.citrulli",-0.412652923900791,0.875513592895812,0.9986928692853,"TCGA",NA
"Acidovorax.ebreus",-0.763869655736022,0.794365788179839,0.9986928692853,"TCGA",NA
"Acidovorax.monticola",-0.939700850871103,0.415997479815669,0.9986928692853,"TCGA",NA
"Acidovorax.sp..1608163",0.495446930050957,0.329400106458288,0.9986928692853,"TCGA",NA
