"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","enriched.in","source"
"Abiotrophia.defectiva",0.0912181406568874,0.433969459817795,2.5037632593925,0.173326874331997,0.862394500712915,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Abyssicoccus.albus",0.144172867042974,-0.342367475611386,2.21715476500326,-0.154417490838031,0.877280563367695,0.99980060686724,FALSE,"HypoxiaLow","TCGA"
"Acaryochloris.marina",0.104268050824822,0.204915712270169,3.70535703016518,0.0553025553548437,0.955897426405052,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acetilactobacillus.jinshanensis",0.0174521495509029,0.0247423372066034,3.70534572302099,0.00667747062113028,0.9946721888795,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acetivibrio.clariflavus",0.0985185162374595,0.348510197999634,3.70524458035108,0.0940586216218449,0.925062589767298,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acetivibrio.thermocellus",0.0177296240261305,0.0654164360882764,3.70538815975851,0.0176544084635224,0.985914551748363,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acetoanaerobium.sticklandii",0.0156275421036421,0.0953857075466859,3.70538319059824,0.0257424678205241,0.979462750646506,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acetobacter.aceti",0.0814216985097548,0.741325741501154,3.70498700810236,0.200088621061279,0.841411272499016,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acetobacter.orientalis",0,NA,NA,NA,NA,NA,NA,NA,"TCGA"
"Acetobacter.persici",0.0293322428331705,-0.0340170846071352,3.70535537138471,-0.00918051878905821,0.992675108690851,0.99980060686724,FALSE,"HypoxiaLow","TCGA"
"Acetobacter.senegalensis",0,NA,NA,NA,NA,NA,NA,NA,"TCGA"
"Acetobacter.sp..KACC.21233",0.0215136611791096,-0.0340170846071352,3.70535537138471,-0.00918051878905821,0.992675108690851,0.99980060686724,FALSE,"HypoxiaLow","TCGA"
"Acetobacterium.woodii",0.0398584177931069,0.190836909725394,3.70536802592597,0.0515028219572612,0.958924853240967,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acetohalobium.arabaticum",0.00109489260582764,0.0953860193374978,3.70538319063136,0.0257425519656565,0.979462683530646,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acetomicrobium.mobile",0.0202773782950963,0.0654164360882764,3.70538815975851,0.0176544084635224,0.985914551748363,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acholeplasma.axanthum",0.00953857368330038,0.0654170193086897,3.70538815995731,0.0176545658605018,0.985914426183313,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acholeplasma.brassicae",0.00755376072553089,0.190838062068532,3.70536802631875,0.0515031329446992,0.958924605437766,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Acholeplasma.hippikon",0,NA,NA,NA,NA,NA,NA,NA,"TCGA"
"Acholeplasma.palmae",0.00927788907839983,0.0654170193086897,3.70538815995731,0.0176545658605018,0.985914426183313,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Achromobacter.deleyi",0.223922983445107,0.344301139254914,2.43010203305799,0.14168176256437,0.887331380971593,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Achromobacter.denitrificans",0.545223291517274,0.576344672571676,2.37378835261737,0.24279530731381,0.808163971040903,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Achromobacter.insolitus",0.0813867192533451,0.0689321392372305,3.04600030651778,0.0226303782996117,0.981945111649862,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Achromobacter.pestifer",0.0547492583161053,-0.238629956740434,3.7052248901285,-0.0644036364368042,0.948648834582529,0.99980060686724,FALSE,"HypoxiaLow","TCGA"
"Achromobacter.sp..AONIH1",0.0329322323357322,-0.135716701139569,3.70529563565266,-0.0366277659017789,0.970781804391893,0.99980060686724,FALSE,"HypoxiaLow","TCGA"
"Achromobacter.sp..B7",0.0392739951117689,0.0914017802715891,3.70421409695879,0.0246750802948002,0.980314132071381,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Achromobacter.sp..ES.001",0.0870717692303081,-0.113213895083391,3.69685212729869,-0.0306244045433639,0.97556907926416,0.99980060686724,FALSE,"HypoxiaLow","TCGA"
"Achromobacter.sp..MFA1.R4",0.0200950932529089,0.0654164360882764,3.70538815975851,0.0176544084635224,0.985914551748363,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Achromobacter.spanius",0.165759250023213,0.198085225359061,1.89679730142679,0.104431414579755,0.916826993741705,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
"Achromobacter.xylosoxidans",6.97470421087127,-0.564961304241442,0.92618779564366,-0.609985692857051,0.541871285078921,0.99980060686724,FALSE,"HypoxiaLow","TCGA"
"Acidaminococcus.fermentans",0.0283131698629949,0.105485044626399,3.70532424207557,0.0284685057865031,0.977288486584963,0.99980060686724,FALSE,"HypoxiaHigh","TCGA"
